15
HD001,KH001,NV001,01/01/2025,75000,0
HD002,KH002,NV003,15/02/2025,172000,0
HD003,KH003,NV002,20/03/2025,650000,0
HD004,KH004,NV001,05/04/2025,120000,0
HD005,KH005,NV002,10/04/2025,430000,0
HD006,KH006,NV004,22/05/2025,95000,0
HD007,KH007,NV005,01/06/2025,320000,0
HD008,KH008,NV003,15/06/2025,75000,0
HD009,KH009,NV001,02/07/2025,180000,0
HD010,KH010,NV002,10/08/2025,560000,0
HD011,KH011,NV006,19/08/2025,240000,0
HD012,KH012,NV007,05/09/2025,88000,0
HD013,KH013,NV008,20/09/2025,1250000,0
HD014,KH014,NV001,11/10/2025,410000,0
HD015,KH015,NV005,30/10/2025,720000,0
